player_name,actual_wrc_plus,predicted_wrc_plus,residual
Aaron Judge,204,167.49021900358457,36.50978099641543
Brenton Doyle,65,99.64180263913096,-34.64180263913096
Oneil Cruz,86,115.90016752562447,-29.900167525624468
Ke'Bryan Hayes,65,92.67605670191347,-27.676056701913467
Ryan McMahon,86,112.29702091500242,-26.29702091500242
Matt McLain,77,102.3289300376807,-25.328930037680706
Adolis García,83,107.10405421674274,-24.10405421674274
Joey Ortiz,67,90.94131350930397,-23.941313509303967
Brooks Lee,81,104.48661875958936,-23.486618759589362
Brooks Lee,81,104.48661875958936,-23.486618759589362
Anthony Volpe,83,106.38906306635627,-23.38906306635627
Marcus Semien,89,111.92243855567742,-22.922438555677417
Bo Bichette,134,112.86278883888177,21.13721116111823
Ozzie Albies,87,107.74157960780623,-20.74157960780623
Ozzie Albies,87,107.74157960780623,-20.74157960780623
Salvador Perez,95,114.96923440108546,-19.96923440108546
Jeremy Peña,135,115.16186257598329,19.838137424016708
Otto Lopez,86,105.40909848761734,-19.409098487617342
Andrew McCutchen,95,114.17831623323978,-19.178316233239784
Jonathan India,89,107.74287139273207,-18.74287139273207
Shohei Ohtani,172,154.38773379510272,17.61226620489728
Miguel Vargas,101,118.59393701199839,-17.593937011998392
Lars Nootbaar,96,113.396330499926,-17.396330499925995
Michael Harris II,83,99.97677821608077,-16.976778216080774
Luis Rengifo,73,89.75016402859717,-16.75016402859717
Luis Rengifo,73,89.75016402859717,-16.75016402859717
Freddie Freeman,139,122.31669586616562,16.683304133834383
Agustín Ramírez,91,107.63775522394297,-16.637755223942975
Eric Wagaman,85,101.449808320601,-16.449808320600994
Ceddanne Rafaela,91,106.65906722936906,-15.659067229369057
Mike Yastrzemski,106,121.21449837640897,-15.214498376408969
Josh Bell,107,122.1938663004525,-15.193866300452498
Josh Bell,107,122.1938663004525,-15.193866300452498
Trea Turner,125,110.96261884550047,14.037381154499528
Vladimir Guerrero Jr.,137,123.02654046551022,13.973459534489777
