player_name,actual_wrc_plus,predicted_wrc_plus,residual
Oneil Cruz,86,132.418891045039,-46.418891045039004
Brenton Doyle,65,97.23457536627835,-32.23457536627835
Anthony Volpe,83,114.01123073369688,-31.011230733696877
Bo Bichette,134,103.07855295095695,30.921447049043053
Trea Turner,125,96.33991540615634,28.660084593843663
Ke'Bryan Hayes,65,93.05752713411354,-28.057527134113542
Salvador Perez,95,122.88578312752526,-27.885783127525258
Otto Lopez,86,112.66512441046054,-26.665124410460535
Marcus Semien,89,114.49523347057516,-25.495233470575158
Jeremy Peña,135,110.18555564466297,24.81444435533703
Ozzie Albies,87,111.61168558514859,-24.611685585148592
Ozzie Albies,87,111.61168558514859,-24.611685585148592
Freddie Freeman,139,114.83554552504219,24.164454474957807
Michael Harris II,83,106.84204815234169,-23.84204815234169
Adolis García,83,106.55089348985535,-23.550893489855355
J.P. Crawford,113,90.16444623814515,22.835553761854854
Shea Langeliers,132,109.36678004782804,22.633219952171956
Yainer Diaz,92,114.4018448321253,-22.401844832125306
Agustín Ramírez,91,112.2949802194004,-21.2949802194004
Brooks Lee,81,101.76693509217799,-20.766935092177988
Brooks Lee,81,101.76693509217799,-20.766935092177988
Vladimir Guerrero Jr.,137,116.46265005121583,20.53734994878417
Ceddanne Rafaela,91,111.44587426525379,-20.445874265253792
Jorge Polanco,132,112.0618209580016,19.938179041998396
Jorge Polanco,132,112.0618209580016,19.938179041998396
Ryan McMahon,86,105.41965042141544,-19.41965042141544
Andrew McCutchen,95,114.16614023958591,-19.166140239585914
Josh Naylor,128,109.26776719452404,18.73223280547596
Josh Bell,107,125.53968519711205,-18.53968519711205
Josh Bell,107,125.53968519711205,-18.53968519711205
Miguel Vargas,101,119.22904112809321,-18.229041128093215
Joey Ortiz,67,85.03124403730659,-18.031244037306593
Vinnie Pasquantino,116,133.9355868205686,-17.935586820568602
Pete Crow-Armstrong,109,126.9199028125304,-17.919902812530395
Luis Rengifo,73,90.68372265122977,-17.683722651229772
Luis Rengifo,73,90.68372265122977,-17.683722651229772
Trevor Larnach,102,84.89140778957739,17.108592210422614
Matt McLain,77,93.8191131767593,-16.819113176759302
Brice Turang,124,107.2575236231215,16.7424763768785
Maikel Garcia,121,104.8570245231281,16.142975476871896
Caleb Durbin,105,121.11605625598753,-16.11605625598753
Mike Yastrzemski,106,121.22228305872258,-15.222283058722581
Zach McKinstry,114,99.12576016777757,14.874239832222429
Jo Adell,112,126.87313554698916,-14.873135546989161
Lars Nootbaar,96,110.25019416452969,-14.250194164529688
Gavin Sheets,111,97.01845088344668,13.981549116553325
Luis Arraez,104,117.63971692947257,-13.63971692947257
Hunter Goodman,118,104.45721621379855,13.542783786201454
Nolan Schanuel,109,122.25434394764962,-13.254343947649616
Trent Grisham,129,142.0037491717502,-13.0037491717502
Xavier Edwards,95,107.76083290934409,-12.760832909344089
Xavier Edwards,95,107.76083290934409,-12.760832909344089
Zach Neto,116,128.6575260292068,-12.657526029206792
Carlos Correa,106,93.43315341877621,12.566846581223786
Matt Olson,136,123.60410868888647,12.39589131111353
José Ramírez,133,145.11846090063153,-12.118460900631533
José Ramírez,133,145.11846090063153,-12.118460900631533
Geraldo Perdomo,138,126.05836550447503,11.941634495524966
Geraldo Perdomo,138,126.05836550447503,11.941634495524966
Alec Bohm,105,116.63615443722779,-11.636154437227788
Nick Castellanos,90,101.55172406081299,-11.551724060812987
Jonathan India,89,100.40673507164132,-11.406735071641322
Aaron Judge,204,192.83404904610552,11.16595095389448
Mookie Betts,104,115.16405548964109,-11.164055489641086
Wyatt Langford,118,128.98637492422554,-10.986374924225544
Christian Yelich,121,110.03431408264115,10.965685917358854
Juan Soto,156,166.75747117637374,-10.757471176373741
Lawrence Butler,96,85.57296329321298,10.427036706787021
Willy Adames,108,118.37369966769417,-10.373699667694169
Jarren Duran,111,100.74956456859755,10.250435431402451
J.T. Realmuto,94,104.1930662870795,-10.193066287079503
Brandon Nimmo,114,104.42571109085785,9.574288909142155
Marcell Ozuna,114,123.53476118937515,-9.534761189375146
Ryan O'Hearn,127,117.67962792135074,9.320372078649257
Christian Walker,99,108.03879745038603,-9.038797450386028
Ernie Clement,98,106.99890047823885,-8.998900478238852
Yandy Díaz,135,126.22973318485566,8.770266815144339
Lourdes Gurriel Jr.,95,103.71992118167509,-8.71992118167509
Sal Frelick,114,105.39256678740576,8.607433212594245
Brendan Donovan,119,127.44805344785117,-8.448053447851166
Paul Goldschmidt,103,111.43606232546769,-8.436062325467688
Taylor Ward,117,125.37395845646199,-8.373958456461992
Gavin Lux,102,93.67714469319606,8.322855306803945
Brandon Lowe,114,105.84619677426683,8.15380322573317
Francisco Lindor,129,121.0385800219776,7.9614199780224055
Francisco Lindor,129,121.0385800219776,7.9614199780224055
Riley Greene,121,128.74692088125656,-7.746920881256557
Eric Wagaman,85,92.698756867403,-7.698756867403006
Spencer Torkelson,118,125.62930487371653,-7.629304873716535
Cal Raleigh,161,168.53430758159877,-7.5343075815987675
Cal Raleigh,161,168.53430758159877,-7.5343075815987675
Chase Meidroth,87,94.26692706231292,-7.2669270623129165
James Wood,127,119.85056159225962,7.1494384077403765
Julio Rodríguez,126,118.99280604525195,7.007193954748047
Teoscar Hernández,102,95.09392954953084,6.906070450469159
Michael Busch,140,146.85183370937705,-6.851833709377047
Jackson Holliday,96,102.78538890010691,-6.785388900106909
Gunnar Henderson,120,113.23111579670267,6.768884203297333
Nathaniel Lowe,91,97.70983406778453,-6.709834067784527
Josh Smith,100,106.70262451846766,-6.702624518467658
