id,name,year,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
663586,"Riley, Austin",2024,800,0.9019165727,577,75.88710309,0.605,0.2755632582,0.19875,0.1923743501,0.13875,7.567306888,18,-14.16892674,223,0.27875,265,0.33125
680718,"Barger, Addison",2024,900,0.9081735621,675,75.88593657,0.6188888889,0.3007407407,0.2255555556,0.2014814815,0.1511111111,7.636537222,8,-15.60791451,225,0.25,336,0.3733333333
595751,"Alfaro, Jorge",2024,88,0.9263157895,57,75.87675296,0.6136363636,0.2280701754,0.1477272727,0.1052631579,0.06818181818,7.010970455,1,-2.383815059,31,0.3522727273,24,0.2727272727
660821,"Sánchez, Jesús",2024,834,0.9065217391,626,75.85301194,0.5863309353,0.3067092652,0.2302158273,0.1853035144,0.139088729,6.920167854,14,-25.97242025,208,0.2494004796,319,0.3824940048
660271,"Ohtani, Shohei",2024,1205,0.903975994,827,75.82606516,0.6141078838,0.3639661427,0.2497925311,0.2563482467,0.17593361,7.922860025,15,24.31785988,378,0.3136929461,405,0.3360995851
669432,"Rogers, Trevor",2024,1,1,0,75.81402,1,NaN,0,NaN,0,8.3424,0,-0.05473702695,1,1,0,0
669194,"Nelson, Ryne",2024,1,1,1,75.77985,1,0,0,0,0,7.05599,0,0.502896517,0,0,1,1
677956,"Hinds, Rece",2024,82,0.9010989011,38,75.73545866,0.5975609756,0.3157894737,0.1463414634,0.1842105263,0.08536585366,7.963156098,1,-3.412643909,44,0.5365853659,20,0.243902439
673357,"Robert Jr., Luis",2024,723,0.9026217228,518,75.61304356,0.5739972337,0.2837837838,0.2033195021,0.1640926641,0.1175656985,7.81207177,19,-14.91657577,205,0.2835408022,257,0.3554633472
682985,"Greene, Riley",2024,1311,0.907266436,907,75.56062799,0.5697940503,0.243660419,0.1685736079,0.1499448732,0.1037376049,7.278791625,6,-15.93990454,404,0.3081617086,378,0.2883295195
662139,"Varsho, Daulton",2024,516,0.9084507042,369,75.50292223,0.5523255814,0.2926829268,0.2093023256,0.1463414634,0.1046511628,7.86862314,5,7.700815542,147,0.2848837209,176,0.3410852713
694212,"Basallo, Samuel",2024,214,0.906779661,153,75.49435154,0.5560747664,0.2549019608,0.1822429907,0.1830065359,0.1308411215,7.363863551,4,-10.11723686,61,0.285046729,72,0.3364485981
663662,"Cameron, Daz",2024,75,0.8928571429,58,75.43708387,0.4933333333,0.2413793103,0.1866666667,0.1034482759,0.08,6.9784948,1,-3.076551234,17,0.2266666667,25,0.3333333333
676812,"McCusker, Carson",2024,54,0.9,27,75.40469426,0.5555555556,0.1851851852,0.09259259259,0.1481481481,0.07407407407,7.827597407,0,-3.955231211,27,0.5,13,0.2407407407
683002,"Henderson, Gunnar",2024,1069,0.912116041,825,75.35744935,0.536950421,0.3260606061,0.251637044,0.2060606061,0.1590271282,7.279101805,21,-14.91512752,244,0.2282507016,419,0.3919550982
686948,"Baldwin, Drake",2024,778,0.9067599068,638,75.30223199,0.5642673522,0.3119122257,0.2557840617,0.1896551724,0.1555269923,7.184185013,9,-1.589058282,140,0.1799485861,316,0.4061696658
663728,"Raleigh, Cal",2024,1359,0.9023904382,969,75.26281851,0.5481972038,0.2765737874,0.1972038263,0.1723426213,0.1228844739,7.896017609,30,8.839572481,390,0.2869757174,405,0.298013245
