player.name,player_id,year,player_age,WRC.,k_percent,isolated_power,avg_swing_speed,squared_up_contact,avg_swing_length,attack_angle,ideal_angle_rate,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,z_swing_percent,oz_swing_percent,meatball_swing_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent
Julio Rodríguez,677594,2024,23,116.136483487582,25.4,0.136,76.3,29.6,7.9,8.1,47.2,91.7,10.5,33.2,10.2,48.4,74.7,37.3,81.8,30.9,33.4,39.2,27.4,44.6,26.2,23,6.3
Julio Rodríguez,677594,2025,24,125.969440262665,21.4,0.207,76.4,30.8,7.7,6.9,46.4,91.8,8.5,31.5,9.8,48,75.2,35.9,80.1,28.2,35.9,40.8,23.3,48.2,25.7,21.1,5
Tyler Soderstrom,691016,2025,23,125.258101359286,22.6,0.198,74,33.1,7.5,9.6,50.2,91.6,7.9,34.4,11.4,49.8,68.3,28.7,80.9,25.4,33.2,38.4,28.4,48.3,23.5,24.6,3.6
Cody Bellinger,641355,2024,28,107.753597956653,15.6,0.16,69,38.6,7.6,13.2,59.5,87.8,17.4,32.9,6.3,32.9,67.1,32.4,77.1,22.2,40.5,33.3,26.2,37,35,21.1,6.9
Cody Bellinger,641355,2025,29,125.034227533092,13.7,0.208,70.1,33.9,7.8,12.9,59.3,88.3,18.5,37.1,7.5,37.9,67,30,77.6,18.1,42.4,31.8,25.8,32.9,35.7,24.3,7.1
Trea Turner,607208,2024,31,122.754929731447,18.2,0.174,71.6,34.1,7.6,11,61.4,89.1,11.5,30.9,6.9,40.7,74.8,33.9,82.5,26.1,43.6,33.8,22.5,47.1,26.5,21.3,5.1
Trea Turner,607208,2025,32,124.808227806724,16.7,0.153,71.2,33.5,7.6,8.1,60.1,89.3,9.1,34.7,5.8,42.1,72.8,31,83.1,24.8,38.6,37.4,24,48.3,23.1,24.2,4.3
Eugenio Suárez,553993,2024,32,115.446479228391,27.5,0.213,72.2,30.7,7.8,17.5,50.2,89.1,19.5,40.4,11.3,42.4,66.9,27,78.5,29.1,49.3,28.8,21.9,32.5,33.3,26.4,7.9
Eugenio Suárez,553993,2025,33,124.693617123464,29.8,0.298,72.3,31.8,7.8,18.5,44.5,90.2,21.9,32.8,14.3,47.6,69.4,31,76.1,33.3,47.4,34.8,17.8,32.1,40.9,18.5,8.5
Alec Burleson,676475,2024,25,105.915487398066,12.8,0.151,71.2,37.2,7.5,9.6,54.9,89.7,13.6,34.3,6.5,41.7,77.6,34.5,84.5,19.2,33.5,38.7,27.8,42.5,25.5,25.5,6.5
Alec Burleson,676475,2025,26,124.47509791187,14.5,0.169,72.4,39.1,7.5,10,57.5,91,15.2,34,9.5,43,69.5,28.8,74.5,17.9,33.6,40.4,26,40.2,28.8,24.1,6.9
Brice Turang,668930,2024,24,88.1685147784398,17,0.095,66.2,33.8,6.1,1.1,25.9,87,6.1,32,2.4,29.7,64.4,28.4,75.9,13.8,24,41.8,34.2,53.7,17.7,24.5,4.1
Brice Turang,668930,2025,25,123.569729921547,22.8,0.147,70.6,34.3,6.8,6.9,45.1,91.1,8.6,35.1,7.9,47.4,62.8,23.8,74.6,21,25.9,40.6,33.6,46.9,25.6,25.2,2.3
Willson Contreras,575929,2025,33,123.563415758934,25.2,0.19,76,29.1,8,9.4,47.3,90.6,12.3,37.1,13.9,49,66.3,30.1,81.2,28.9,37.7,38,24.4,41.9,28,25.8,4.2
Manny Machado,592518,2024,31,121.675523918738,19.3,0.197,75.2,31.9,7.8,6.8,54.3,92.5,12.7,33.8,11,48.8,72.4,29.7,80.4,24.4,35.1,42.5,22.4,43.3,22,26.6,8
Manny Machado,592518,2025,32,123.025501417936,19.3,0.185,74.5,35.4,7.8,7.6,54.6,92.9,14.3,34.8,12.9,51.5,70,29.9,81,26.1,35.6,39.3,25.2,38.9,29.2,24.9,7
Seiya Suzuki,673548,2024,29,136.732570785004,27.4,0.199,73,33.4,7.2,6.4,47.3,91.7,16.2,38.8,11.5,49.2,59.6,20.7,70.9,24.5,32.6,44.9,22.5,33.7,34,26.7,5.6
Seiya Suzuki,673548,2025,30,122.590294534666,25.2,0.233,73.4,33.5,7.2,8.1,50.3,91.3,17.9,40.2,16.6,48.7,59.1,20.5,63.2,23.9,41.9,34.7,23.4,31.8,34.7,25.8,7.7
Christian Yelich,592885,2025,33,121.417495545221,25.9,0.188,73.4,32.4,7.5,9.7,44.4,90.2,1.9,31.2,10.3,46.4,66.7,25.7,74.9,29.2,33.4,38.8,27.8,56.8,17.2,22.9,3.2
Riley Greene,682985,2024,23,133.729253011543,26.7,0.217,74.7,30.8,7.2,11.9,43.6,91.3,12.2,39.1,13.4,47.1,66.3,23.1,74.7,26.8,37.4,39.4,23.2,43.6,27.7,24.9,3.9
Riley Greene,682985,2025,24,120.776833577504,30.7,0.235,75.6,24.6,7.3,13.9,43.6,89.9,15,36.9,17.1,45.5,73.6,31.2,85.7,30.9,40.8,32.9,26.2,40.8,31.7,22.3,5.2
Maikel Garcia,672580,2024,24,70.8969776695381,16.5,0.101,70.8,40.9,7.2,4.6,45.6,90.4,6.4,34.1,3.7,42.8,63.6,21.2,74.7,15.7,29.7,41.2,29.1,49.5,20.4,26.6,3.5
Maikel Garcia,672580,2025,25,120.503929638128,12.6,0.163,71.9,44.1,7.3,4.5,44.2,91.3,9.7,34.5,5.6,45.1,58,20.8,68.8,15,35.3,39.7,25,44.9,21.6,27.2,6.4
Randy Arozarena,668227,2024,29,114.248540613921,26.1,0.169,72.7,32.9,7.4,9.4,69.6,90.4,13.2,28.4,8.3,43.5,59.5,24.3,72,29.7,42.4,38,19.5,44.5,27.6,19,8.9
Randy Arozarena,668227,2025,30,119.965337565667,26.9,0.188,72.3,34.9,7.4,8.7,62.1,91.3,12.9,32.6,11.5,50.6,62.6,25.2,75.9,29.7,33,42.2,24.8,42.6,26.9,21.3,9.1
Gunnar Henderson,683002,2024,23,153.795070792663,22.1,0.248,76.3,32.3,7.2,8.3,47.4,92.8,9.2,34.5,11.2,53.9,66.7,23.2,77.8,24.4,36.6,40,23.4,47.4,23.6,24.6,4.4
Gunnar Henderson,683002,2025,24,119.782891815493,21,0.164,75.4,32.6,7.3,8.5,50.9,92.1,9.5,29.9,8.5,49.2,67.5,27.7,76.2,25.1,36.6,37.8,25.6,48.5,18.9,25.8,6.7
Mike Trout,545361,2025,33,119.75142681338,32,0.207,74,27.4,7.5,7.6,44.8,90.9,17.5,44.4,15.8,49.3,55.9,20.7,66.7,29.9,37.7,34.2,28.2,34.2,30.3,28.2,7.4
Brendan Donovan,680977,2024,27,115.115627749196,12.4,0.139,69.6,40.5,6.9,7.7,49.6,88.7,13.2,36.6,5.5,37.6,63.7,23.7,68,15.1,35.4,36.2,28.4,42.3,22.9,27.2,7.6
Brendan Donovan,680977,2025,28,118.596891351044,13,0.135,69.3,42.3,6.8,7.9,49.2,89.7,12.2,40.1,8.8,40.9,61.3,25,77.4,13.4,34.8,38.3,26.8,43.1,22.3,28.1,6.5
Matt Chapman,656305,2024,31,120.672638670419,24.4,0.216,76.6,28.1,7.5,6.2,51.5,93.2,16.2,31.3,12.6,48.3,63.5,24.2,71.5,23.5,37.9,37.7,24.3,38.4,28.4,23.2,10
Matt Chapman,656305,2025,32,118.309057007223,23.6,0.199,74.9,30,7.5,5.6,53.3,92.2,15.7,34,9.9,47.6,63.8,20,77.2,25.3,43.4,33.7,22.9,40.4,24.7,22.3,12.7
Wyatt Langford,694671,2024,22,111.29704584629,20.6,0.162,74.5,31.7,7,11.2,55.6,89.6,16.6,31.3,9.3,43.4,64.3,23,71.7,22.9,44.7,33.3,22,40.1,28.9,22,9
Wyatt Langford,694671,2025,23,118.205814726234,26.4,0.19,73.1,34.4,7,16.8,48.6,91.4,17.5,35.9,14,48.4,63.8,23.4,76.4,26.3,43.1,33.8,23,35,30.6,26.8,7.6
Hunter Goodman,696100,2025,25,117.704241847891,26.3,0.242,74.4,30.9,7.3,13.4,61.1,90.8,17.3,32.8,12.8,46.9,75.3,36.7,79.1,32,48.7,33.3,17.9,38.5,28.7,22.6,10.3
Spencer Torkelson,679529,2025,25,117.571494933154,26,0.216,73.1,30.6,7.8,13.5,50,90.2,23.1,39.3,13.5,45.1,65.9,22.4,77.5,26.9,48.4,31.1,20.6,27.6,36.6,24.1,11.8
Jake Cronenworth,630105,2024,30,104.997280580935,18,0.149,69.5,31.9,7.1,6.4,36.2,88.6,13.9,35.4,7.8,36.7,65.9,23.1,78.9,17.1,32.6,38.7,28.7,43.6,25.3,23.8,7.3
Jake Cronenworth,630105,2025,31,117.498544941002,20.8,0.131,70.9,30.2,7,7.4,36.5,88.5,14.9,31.9,6.2,39,62.1,22.2,68.8,18.8,35.6,37.8,26.6,43,30,21.4,5.6
Taylor Ward,621493,2024,30,111.670561009111,24.6,0.18,69.8,38.4,7.1,9.4,51.4,90.9,17.4,41.9,13,42.4,64.8,20.8,78.4,25.5,32.3,36.3,31.4,32.3,36.3,27.7,3.7
Taylor Ward,621493,2025,31,116.718844979828,26.4,0.247,69.5,37.4,7.1,9.1,55.5,90.1,18,34.9,13.7,42.7,53.7,20.7,67.3,23.8,36.6,36.3,27.1,34.4,36.1,21.7,7.8
Ian Happ,664023,2024,29,120.694741232055,25.6,0.198,72.4,31.8,7,9.7,44.1,90.8,15.1,37,11.7,45.2,67.8,23.2,80.2,27.9,38.7,34,27.3,39.2,30.3,22.8,7.7
